cases/pglib-opf/pglib_opf_case2000_tamu.m
ipopt
ACT
[warn | PowerModels]: reversing the orientation of branch 40 (1071, 1019) to be consistent with other parallel branches
[warn | PowerModels]: no active generators found at bus 3045, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8035, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8050, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5106, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6148, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2094, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6087, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5424, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1053, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6072, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2085, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7207, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7309, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5036, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2103, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8158, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6048, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7191, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5283, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7281, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6270, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4075, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7334, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7015, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1060, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6301, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2105, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4133, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4090, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1063, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6049, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7280, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5297, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4092, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8087, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8116, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5057, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5320, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2019, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1042, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6050, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2004, updating to bus type from 2 to 1
[info | PowerModels]: removing 3 cost terms from generator 1: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 54: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 101: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 326: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 168: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 332: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 531: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 88: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 289: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 77: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 230: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 24: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 328: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 23: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 160: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 59: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 39: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 112: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 55: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 9: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 363: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 12: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 292: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 167: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 96: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 123: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 510: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 19: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 242: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 365: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 45: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 181: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 436: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 85: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 105: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 3: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 309: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 75: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 63: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 92: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 120: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 87: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 89: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 182: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 286: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 161: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 291: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 80: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 308: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 113: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 110: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 231: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 327: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 200: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 61: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 108: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 100: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 151: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 76: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 438: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 180: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 48: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 103: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 109: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 2: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 51: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 53: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 106: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 435: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 111: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 287: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 93: Float64[]
[info | PowerModels]: removing 1 cost terms from generator 213: [811.0, 1209.05]
[info | PowerModels]: removing 3 cost terms from generator 10: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 5: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 62: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 90: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 205: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 311: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 366: Float64[]
[info | PowerModels]: removing 1 cost terms from generator 380: [744.5, 1025.47]
[info | PowerModels]: removing 3 cost terms from generator 86: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 126: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 37: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 268: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 6: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 125: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 98: Float64[]
[info | PowerModels]: removing 1 cost terms from generator 379: [706.3, 1447.46]
[info | PowerModels]: removing 3 cost terms from generator 7: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 107: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 102: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 97: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 4: Float64[]
[info | PowerModels]: removing 1 cost terms from generator 212: [697.5, 1485.46]
[info | PowerModels]: removing 3 cost terms from generator 210: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 211: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 329: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 118: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 38: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 78: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 74: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 119: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 52: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 439: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 290: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 25: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 114: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 166: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 206: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 364: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 44: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 169: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 94: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 288: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 99: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 330: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 73: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 285: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 310: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 79: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 437: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 84: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 325: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 104: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 124: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 267: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 8: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 91: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 60: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 22: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 11: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 434: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 324: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 331: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 40: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 36: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 95: Float64[]

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.13.2, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    86335
Number of nonzeros in inequality constraint Jacobian.:    23492
Number of nonzeros in Lagrangian Hessian.............:    37137

Total number of variables............................:    22888
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    20888
                     variables with only upper bounds:        0
Total number of equality constraints.................:    22159
Total number of inequality constraints...............:    11746
        inequality constraints with only lower bounds:     2667
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     9079

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  6.5499209e+05 5.52e+00 1.01e+02  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  6.8280956e+05 5.25e+00 9.32e+01  -1.0 2.22e+01    -  6.60e-03 4.94e-02h  2
   2  6.9353953e+05 5.11e+00 9.12e+01  -1.0 1.32e+02    -  6.04e-03 2.74e-02h  1
   3  6.9924808e+05 5.03e+00 8.93e+01  -1.0 3.19e+02    -  3.02e-02 1.52e-02h  2
   4  7.1309163e+05 4.85e+00 8.52e+01  -1.0 3.38e+02    -  6.32e-02 3.50e-02h  2
   5  7.3022678e+05 4.66e+00 7.77e+01  -1.0 3.31e+02    -  1.69e-01 4.02e-02h  3
   6  7.4586341e+05 4.49e+00 7.05e+01  -1.0 3.19e+02    -  1.98e-01 3.60e-02h  4
   7  7.6560079e+05 4.28e+00 6.26e+01  -1.0 3.21e+02    -  2.64e-01 4.59e-02h  4
   8  7.8903356e+05 4.04e+00 5.21e+01  -1.0 3.24e+02    -  4.95e-01 5.58e-02h  4
   9  8.0984481e+05 3.84e+00 4.78e+01  -1.0 3.33e+02    -  2.58e-01 5.15e-02h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  8.3690711e+05 3.57e+00 4.36e+01  -1.0 3.32e+02    -  2.12e-01 6.97e-02h  4
  11  8.6339878e+05 3.31e+00 3.84e+01  -1.0 3.34e+02    -  5.46e-01 7.24e-02h  4
  12  8.8512057e+05 3.10e+00 3.56e+01  -1.0 3.46e+02    -  2.50e-01 6.31e-02h  3
  13  1.0640673e+06 1.40e+00 7.37e+01  -1.0 3.35e+02    -  4.34e-01 5.48e-01w  1
  14  1.1206040e+06 9.12e-01 5.75e+01  -1.0 2.37e+02    -  3.19e-01 3.50e-01w  1
  15  1.1508879e+06 6.57e-01 4.43e+01  -1.0 1.81e+02    -  1.86e-01 2.79e-01w  1
  16  1.1865179e+06 3.63e-01 2.87e+01  -1.0 1.36e+02    -  3.06e-01 4.48e-01h  1
  17  1.1994806e+06 2.58e-01 2.09e+01  -1.0 7.77e+01    -  9.61e-01 2.89e-01h  1
  18  1.2191639e+06 1.01e-01 9.61e+00  -1.0 6.16e+01    -  1.00e+00 6.08e-01h  1
  19  1.2319983e+06 2.96e-04 1.58e+00  -1.0 2.54e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.2320138e+06 1.58e-05 3.57e-01  -1.0 3.08e+00    -  1.00e+00 1.00e+00h  1
  21  1.2308537e+06 4.79e-04 2.77e+01  -1.7 7.11e+00    -  9.20e-01 8.64e-01f  1
  22  1.2296326e+06 8.48e-04 5.73e+01  -1.7 3.83e+00    -  1.00e+00 9.68e-01f  1
  23  1.2295738e+06 2.55e-05 1.08e+00  -1.7 9.68e-01    -  1.00e+00 1.00e+00h  1
  24  1.2295737e+06 1.79e-06 1.78e-02  -1.7 4.66e-02    -  1.00e+00 1.00e+00h  1
  25  1.2291495e+06 9.59e-05 8.03e+00  -3.8 4.80e+00    -  6.10e-01 3.49e-01f  1
  26  1.2290208e+06 9.75e-05 1.61e+01  -3.8 6.84e+00    -  4.56e-01 1.24e-01f  1
  27  1.2288723e+06 1.62e-04 2.13e+01  -3.8 7.08e+00    -  3.58e-01 1.72e-01f  1
  28  1.2287461e+06 2.47e-04 2.54e+01  -3.8 7.35e+00    -  4.86e-01 1.88e-01f  1
  29  1.2286356e+06 1.95e-04 2.11e+01  -3.8 6.66e+00    -  5.28e-01 2.15e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.2285857e+06 1.61e-04 4.32e+01  -3.8 5.54e+00    -  6.23e-01 1.74e-01f  1
  31  1.2285475e+06 1.24e-04 3.21e+01  -3.8 5.13e+00    -  2.16e-01 2.30e-01f  1
  32  1.2285311e+06 1.00e-04 2.60e+01  -3.8 4.07e+00    -  5.20e-01 1.96e-01h  1
  33  1.2285210e+06 8.20e-05 2.16e+01  -3.8 3.41e+00    -  2.48e-01 1.81e-01h  1
  34  1.2285015e+06 3.79e-05 1.45e+01  -3.8 2.88e+00    -  7.21e-01 5.40e-01h  1
  35  1.2284940e+06 1.71e-05 8.97e+00  -3.8 1.25e+00    -  8.87e-01 5.48e-01h  1
  36  1.2284891e+06 1.06e-05 4.98e-01  -3.8 5.24e-01    -  1.00e+00 9.47e-01h  1
  37  1.2284891e+06 1.11e-07 3.34e-04  -3.8 1.51e-01    -  1.00e+00 1.00e+00h  1
  38  1.2284891e+06 8.89e-10 1.38e-05  -3.8 6.67e-03    -  1.00e+00 1.00e+00h  1
  39  1.2284876e+06 9.52e-07 3.54e-01  -5.7 2.70e-01    -  8.58e-01 7.51e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.2284872e+06 5.53e-07 1.99e-01  -5.7 1.55e-01    -  8.12e-01 6.42e-01h  1
  41  1.2284871e+06 2.77e-07 3.75e-04  -5.7 1.02e-01    -  1.00e+00 1.00e+00h  1
  42  1.2284871e+06 2.23e-08 9.89e-06  -5.7 2.87e-02    -  1.00e+00 1.00e+00h  1
  43  1.2284871e+06 1.59e-09 4.69e-07  -5.7 6.04e-03    -  1.00e+00 1.00e+00h  1
  44  1.2284871e+06 9.56e-09 2.30e-04  -8.6 1.95e-02    -  9.63e-01 9.68e-01h  1
  45  1.2284871e+06 2.90e-09 5.55e-07  -8.6 6.91e-03    -  1.00e+00 1.00e+00h  1
  46  1.2284871e+06 7.84e-10 6.39e-08  -8.6 2.81e-03    -  1.00e+00 1.00e+00h  1
  47  1.2284871e+06 1.85e-10 1.15e-08  -8.6 1.17e-03    -  1.00e+00 1.00e+00h  1
  48  1.2284871e+06 3.29e-11 1.66e-09  -8.6 3.43e-04    -  1.00e+00 1.00e+00h  1

Number of Iterations....: 48

                                   (scaled)                 (unscaled)
Objective...............:   4.2237822102984355e+04    1.2284870558652999e+06
Dual infeasibility......:   1.6638683326042472e-09    4.8393610453794524e-08
Constraint violation....:   3.2889468926100562e-11    3.2889468926100562e-11
Complementarity.........:   3.7657819590937006e-09    1.0952776828024027e-07
Overall NLP error.......:   3.7657819590937006e-09    1.0952776828024027e-07


Number of objective function evaluations             = 96
Number of objective gradient evaluations             = 49
Number of equality constraint evaluations            = 96
Number of inequality constraint evaluations          = 96
Number of equality constraint Jacobian evaluations   = 49
Number of inequality constraint Jacobian evaluations = 49
Number of Lagrangian Hessian evaluations             = 48
Total CPU secs in IPOPT (w/o function evaluations)   =     44.876
Total CPU secs in NLP function evaluations           =      4.641

EXIT: Optimal Solution Found.
Time to Solution........:20.76783323287964
