cases/pglib-opf/pglib_opf_case2000_tamu.m
ipopt
DCP
[warn | PowerModels]: reversing the orientation of branch 40 (1071, 1019) to be consistent with other parallel branches
[warn | PowerModels]: no active generators found at bus 3045, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8035, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8050, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5106, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6148, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2094, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6087, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5424, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1053, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6072, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2085, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7207, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7309, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5036, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2103, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8158, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6048, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7191, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5283, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7281, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6270, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4075, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7334, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7015, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1060, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6301, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2105, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4133, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4090, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1063, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6049, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 7280, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5297, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 4092, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8087, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 8116, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5057, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 5320, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2019, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 1042, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 6050, updating to bus type from 2 to 1
[warn | PowerModels]: no active generators found at bus 2004, updating to bus type from 2 to 1
[info | PowerModels]: removing 3 cost terms from generator 1: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 54: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 101: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 326: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 168: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 332: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 531: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 88: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 289: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 77: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 230: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 24: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 328: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 23: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 160: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 59: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 39: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 112: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 55: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 9: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 363: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 12: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 292: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 167: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 96: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 123: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 510: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 19: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 242: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 365: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 45: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 181: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 436: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 85: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 105: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 3: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 309: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 75: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 63: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 92: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 120: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 87: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 89: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 182: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 286: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 161: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 291: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 80: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 308: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 113: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 110: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 231: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 327: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 200: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 61: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 108: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 100: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 151: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 76: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 438: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 180: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 48: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 103: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 109: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 2: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 51: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 53: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 106: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 435: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 111: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 287: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 93: Float64[]
[info | PowerModels]: removing 1 cost terms from generator 213: [811.0, 1209.05]
[info | PowerModels]: removing 3 cost terms from generator 10: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 5: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 62: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 90: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 205: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 311: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 366: Float64[]
[info | PowerModels]: removing 1 cost terms from generator 380: [744.5, 1025.47]
[info | PowerModels]: removing 3 cost terms from generator 86: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 126: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 37: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 268: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 6: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 125: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 98: Float64[]
[info | PowerModels]: removing 1 cost terms from generator 379: [706.3, 1447.46]
[info | PowerModels]: removing 3 cost terms from generator 7: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 107: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 102: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 97: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 4: Float64[]
[info | PowerModels]: removing 1 cost terms from generator 212: [697.5, 1485.46]
[info | PowerModels]: removing 3 cost terms from generator 210: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 211: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 329: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 118: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 38: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 78: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 74: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 119: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 52: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 439: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 290: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 25: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 114: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 166: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 206: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 364: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 44: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 169: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 94: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 288: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 99: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 330: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 73: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 285: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 310: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 79: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 437: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 84: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 325: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 104: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 124: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 267: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 8: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 91: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 60: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 22: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 11: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 434: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 324: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 331: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 40: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 36: Float64[]
[info | PowerModels]: removing 3 cost terms from generator 95: Float64[]

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.13.2, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    16346
Number of nonzeros in inequality constraint Jacobian.:    10668
Number of nonzeros in Lagrangian Hessian.............:      310

Total number of variables............................:     5521
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     3521
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5207
Total number of inequality constraints...............:     5334
        inequality constraints with only lower bounds:     2667
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     2667

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  6.5499209e+05 5.52e+00 1.37e+01  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.1152881e+05 4.98e+00 2.53e+01  -1.0 2.25e+01    -  6.34e-03 9.92e-02h  1
   2  7.1782133e+05 4.86e+00 2.53e+01  -1.0 7.85e+01    -  7.95e-03 2.39e-02h  1
   3  7.2373215e+05 4.72e+00 2.47e+01  -1.0 9.58e+01    -  2.58e-02 2.88e-02h  1
   4  7.4153318e+05 4.39e+00 2.04e+01  -1.0 7.08e+01    -  1.40e-01 6.85e-02h  1
   5  7.8633704e+05 3.91e+00 1.82e+01  -1.0 2.60e+01    -  1.08e-01 1.09e-01h  1
   6  8.5519456e+05 3.24e+00 1.44e+01  -1.0 1.59e+01    -  1.97e-01 1.72e-01h  1
   7  9.7005924e+05 2.13e+00 1.15e+01  -1.0 1.41e+01    -  2.65e-01 3.43e-01h  1
   8  1.0463833e+06 1.41e+00 1.06e+01  -1.0 9.85e+00    -  2.34e-01 3.40e-01h  1
   9  1.0832640e+06 1.06e+00 1.09e+01  -1.0 7.10e+00    -  1.09e-01 2.43e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.1070332e+06 8.47e-01 8.53e+00  -1.0 5.18e+00    -  2.13e-01 2.04e-01h  1
  11  1.1321324e+06 6.21e-01 7.90e+00  -1.0 4.33e+00    -  1.63e-01 2.67e-01h  1
  12  1.1547593e+06 4.18e-01 2.47e+00  -1.0 3.60e+00    -  5.38e-01 3.26e-01h  1
  13  1.1877950e+06 1.25e-01 1.17e+00  -1.0 2.72e+00    -  6.33e-01 7.00e-01h  1
  14  1.1913993e+06 9.40e-02 2.07e+02  -1.0 2.06e+00    -  1.00e+00 2.51e-01h  1
  15  1.1999692e+06 1.95e-02 4.74e+01  -1.0 8.42e-01    -  9.02e-01 7.92e-01h  1
  16  1.2022522e+06 2.27e-13 1.00e-06  -1.0 5.57e-01    -  1.00e+00 1.00e+00h  1
  17  1.2016175e+06 2.27e-13 1.31e+00  -1.7 4.81e-01    -  9.38e-01 1.00e+00f  1
  18  1.2015889e+06 2.27e-13 2.00e-07  -1.7 7.64e-02    -  1.00e+00 1.00e+00f  1
  19  1.2014266e+06 4.55e-13 1.95e-01  -3.8 1.77e-01    -  8.89e-01 9.76e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.2014205e+06 2.27e-13 1.50e-09  -3.8 3.21e-02    -  1.00e+00 1.00e+00f  1
  21  1.2014192e+06 2.27e-13 1.85e-11  -5.7 7.35e-03    -  1.00e+00 1.00e+00f  1
  22  1.2014192e+06 2.27e-13 1.84e-11  -5.7 7.21e-04    -  1.00e+00 1.00e+00f  1
  23  1.2014192e+06 4.55e-13 5.85e-14  -8.6 2.74e-05    -  1.00e+00 1.00e+00f  1

Number of Iterations....: 23

                                   (scaled)                 (unscaled)
Objective...............:   4.1307174918885547e+04    1.2014191825157860e+06
Dual infeasibility......:   5.8497436614053959e-14    1.7013979439197593e-12
Constraint violation....:   6.1346775089362774e-14    4.5474735088646412e-13
Complementarity.........:   3.3979297649813534e-09    9.8828787214482665e-08
Overall NLP error.......:   3.3979297649813534e-09    9.8828787214482665e-08


Number of objective function evaluations             = 24
Number of objective gradient evaluations             = 24
Number of equality constraint evaluations            = 24
Number of inequality constraint evaluations          = 24
Number of equality constraint Jacobian evaluations   = 1
Number of inequality constraint Jacobian evaluations = 1
Number of Lagrangian Hessian evaluations             = 1
Total CPU secs in IPOPT (w/o function evaluations)   =      1.867
Total CPU secs in NLP function evaluations           =      0.217

EXIT: Optimal Solution Found.
Time to Solution........:2.8141748905181885
